b,c
0.008592131,0.003836181
0.008599037,0.003492016
0.008585908,0.002624495
0.008486979,0.003407021
0.008635374,0.003247674
0.008745381,0.003460373
0.008305834,0.004464173
0.008571493,0.004085544
0.008949862,0.005647497
0.009080708,0.001140444
0.009307099,-0.000822773
0.009243546,0.000875608
0.009318887,-0.001263447
0.009300102,-0.001103673
0.009322823,0.00126723
0.009260375,-2.96E-05
0.009222549,0.00254884
0.009176046,0.001156976
0.009172877,0.002003416
0.009114685,0.002276586
0.009224683,0.001343398
0.009081897,0.002909513
0.009196528,0.002720865
0.009174457,0.002036851
0.00901363,0.002823309
0.009082026,0.002872134
0.009185231,0.004196048
0.008932829,0.002605449
0.00910245,0.002019761
0.009118479,0.002218757
0.009114836,0.00279318
0.009155968,0.002503932
0.009003737,0.003183385
0.0089852,0.002265785
0.009107479,0.001986213
0.009014327,0.002719332
0.009155755,0.003092077
0.008809907,0.003758629
0.008877486,0.004348854
0.009051283,0.006148567
0.009139866,0.002291779
0.009522847,-0.001944781
0.009619994,-0.002703072
0.009555705,-0.002753488
0.009337399,-6.20E-05
0.009535771,0.000229224
0.00931462,0.000859797
0.00970167,-0.00081739
0.009424522,-0.000122787
0.009431741,0.000750417
0.009291308,0.001722113
0.009272998,0.001862598
0.009339441,0.00181417
0.009329729,0.002559153
0.009191519,0.002422961
0.009175241,0.002522718
0.009028083,0.003487762
0.009379712,0.003882579
0.009155629,0.002592257
0.009209424,0.002502926
0.009321216,0.001722254
0.009270976,0.002924997
0.009260962,0.002758331
0.009171384,0.002703815
0.009317391,0.001423334
0.009173626,0.002155334
0.009313722,0.002273833
0.009165042,0.003888707
0.009010241,0.003731658
0.008828018,0.004466663
0.009109723,0.005234218
0.009297594,0.000432183
0.009559347,-0.002122524
0.009620626,-0.001979055
0.009523308,-0.002139939
0.009521105,-0.002054121
0.009569083,0.000545405
0.009471807,0.00012038
0.009510473,0.001218191
0.009523933,-0.000449191
0.009536857,0.000569151
0.009408448,0.001369707
0.009379296,0.001507405
0.009494529,0.001214582
0.009405396,0.002721437
0.009326208,0.002014207
0.009292814,0.002056359
0.009316095,0.00206224
0.009298219,0.004804058
0.009292982,0.002064678
0.009392491,0.001672354
0.00925003,0.002533896
0.009185473,0.003695716
0.009203125,0.003005211
0.009271069,0.002485242
0.009092286,0.002666907
0.009173413,0.00254895
0.009172877,0.003112467
0.009209723,0.003904966
0.008926525,0.004028512
0.009033115,0.004243851
0.009179786,0.004305756
0.009308735,0.000645762
0.009596471,-0.002636548
