b,c
0.009907246,0.026354996
0.010826684,0.021309895
0.010302723,0.023668034
0.010024102,0.023939008
0.019103457,0.036787023
0.017683248,0.048553983
0.016686407,0.053399017
0.015935342,0.052979519
0.015176998,0.054946164
0.014656204,0.054234358
0.01446692,0.049591458
0.014214119,0.047082198
0.013700665,0.047604629
0.01339693,0.045659917
0.01290318,0.047068955
0.012953613,0.042620116
0.012720337,0.041944255
0.012480615,0.041273152
0.012231846,0.040220334
0.012188794,0.037891176
0.012230233,0.036270853
0.011964547,0.035857016
0.01205197,0.033698252
0.011499611,0.035695857
0.011747487,0.031956082
0.01175742,0.031368243
0.01144962,0.031676242
0.011838323,0.028849688
0.0112319,0.029934594
0.012218672,0.02364219
0.011529145,0.027816203
0.011243891,0.028484607
0.011415191,0.026472927
0.011271678,0.025810582
0.011013515,0.026097807
0.020139741,0.042805958
0.018817225,0.052229706
0.017666708,0.057224363
0.016867564,0.059104525
0.016041638,0.058458541
0.015454941,0.058904208
0.015309156,0.052536836
0.0150295,0.049774968
0.014447877,0.052592224
0.014372647,0.047540208
0.013919394,0.047719589
0.014000526,0.043322874
0.013352133,0.045638086
0.012877689,0.04696976
0.012762896,0.043943988
0.012983481,0.041064826
0.01242083,0.041758525
0.012748366,0.038370388
0.012995029,0.033683833
0.01213493,0.037382047
0.01263778,0.032895638
0.012630054,0.032360877
0.012020443,0.034485716
0.012504531,0.030389827
0.011918625,0.032240047
0.012472647,0.029122021
0.011982758,0.029510612
0.011530884,0.031079406
0.011954562,0.027624578
0.011823267,0.027402609
0.011493573,0.029572388
0.020512222,0.046469969
0.019108444,0.05559542
0.017979517,0.059523837
0.017239855,0.059778498
0.016439915,0.062334896
0.015903918,0.060140443
0.015392295,0.057592304
0.015159032,0.054012381
0.014537958,0.054249613
0.014970859,0.047028035
0.013909819,0.051011692
0.014093615,0.046709536
0.013810643,0.045074909
0.013341898,0.045085735
0.013173536,0.044508685
0.013388423,0.040702481
0.013020742,0.041163998
0.01310141,0.038707436
0.013130806,0.036614796
0.012765185,0.035993028
0.012402008,0.037965225
0.012613393,0.035493915
0.012396268,0.035331305
0.012663822,0.032260977
0.01240663,0.031320578
0.012549799,0.030244932
0.012429607,0.029498031
0.011641774,0.033217177
0.012390679,0.027969972
0.011915718,0.02957588
0.01141886,0.030622119
0.021003802,0.040557933
0.019359499,0.056776676
0.018175044,0.060604332
0.017422593,0.059640415
0.016467528,0.062555966
0.01587361,0.061917428
0.015572875,0.058981104
0.015451985,0.053333682
0.015124604,0.050195232
0.014649251,0.051546442
0.013942257,0.052869027
0.014250214,0.0475077
0.013597237,0.048923443
0.01337996,0.047245849
0.013103985,0.047036154
0.013024767,0.044314187
0.013070526,0.042213479
0.012900855,0.04054276
0.013265792,0.036281481
0.012525868,0.040718355
0.012393611,0.038514134
0.013024371,0.034995347
0.012564523,0.034734859
0.01291583,0.031350407
0.012553169,0.032552119
0.012735964,0.030794882
0.012387575,0.030906505
0.011965257,0.031491629
0.012500646,0.028485214
0.012001826,0.029517453
0.011728844,0.029729297
0.020672843,0.049997305
0.019405329,0.057361129
0.018045183,0.066157467
0.017502614,0.061904471
0.016501936,0.064330169
0.016322691,0.056221947
0.015611246,0.057247459
0.015384532,0.055287025
0.014825453,0.055884233
0.014747934,0.050222137
0.014139485,0.051225184
0.014275258,0.047150422
0.013947765,0.047350207
0.013469544,0.046437824
0.013468561,0.044730093
0.013245419,0.042538534
0.012893843,0.044024349
0.01330023,0.037931966
0.01317105,0.038121966
0.012981555,0.03760445
0.012495759,0.038059523
0.013093652,0.03369277
0.012387414,0.036485384
0.01308135,0.031055975
0.012581292,0.031992429
0.012847294,0.02995058
0.012383834,0.030519632
0.012087203,0.03202579
0.012576093,0.028393938
0.012497009,0.028118029
0.011509152,0.032404439
