b,c
0.014060471,0.010096229
0.013654957,0.011073617
0.013520207,0.011650828
0.020442419,0.01374012
0.01964779,0.015257414
0.018942483,0.019834262
0.01872135,0.0186338
0.018100868,0.021519423
0.017697104,0.021553914
0.017546976,0.019856689
0.017346969,0.019157553
0.017265581,0.018331834
0.016998791,0.018112996
0.016707623,0.018462512
0.016671283,0.017857361
0.016547938,0.017658047
0.016390755,0.016243691
0.015823654,0.018168791
0.016135256,0.015682337
0.016354124,0.01416731
0.015498203,0.017447918
0.015756111,0.015467985
0.015699164,0.014686759
0.015539965,0.014558271
0.015213564,0.015101381
0.015353884,0.014377437
0.015934851,0.011633638
0.015410567,0.013462297
0.015364615,0.013851826
0.014979604,0.013455217
0.015651116,0.0117965
0.015449257,0.011842509
0.015682953,0.010273464
0.014854843,0.012539669
0.021798521,0.013621537
0.020757772,0.017699137
0.020444372,0.017136564
0.019775667,0.020569802
0.01886681,0.024250959
0.018885462,0.021621206
0.018694599,0.021651555
0.018349771,0.022036109
0.018257832,0.020084596
0.017937148,0.019971984
0.017688572,0.019930379
0.017351631,0.020013664
0.017679702,0.016801944
0.017226251,0.018267777
0.016844793,0.019361823
0.017101556,0.017508131
0.017264476,0.015706037
0.016706286,0.016808897
0.016966637,0.015319848
0.016949141,0.015346894
0.016371473,0.016685782
0.016667866,0.014308841
0.016561643,0.01524581
0.016666987,0.013525988
0.01629266,0.014638678
0.016248754,0.014242899
0.015704916,0.014644004
0.01643683,0.012734888
0.016032609,0.012529487
0.016014931,0.013189867
0.016119852,0.012493774
0.022150981,0.016298282
0.021258746,0.020421402
0.020818021,0.021637581
0.020174606,0.024617391
0.019764741,0.022263766
0.019559403,0.022008316
0.018653448,0.025082719
0.018276099,0.026448245
0.01860261,0.020941339
0.018258274,0.020260736
0.018381834,0.018709633
0.018419211,0.017072102
0.018207413,0.018000651
0.01817404,0.016978082
0.017300802,0.018919161
0.017354388,0.018030808
0.017496877,0.016465169
0.0168493,0.019601524
0.017241705,0.015913577
0.017163271,0.016245911
0.016239008,0.017960132
0.016948785,0.015153145
0.016884982,0.015946573
0.017358666,0.012138455
0.016938021,0.014304401
0.016708199,0.014008894
0.016644043,0.014456122
0.017414567,0.01072008
0.017278514,0.011493314
0.016126875,0.013735571
0.016452465,0.012283932
0.02221761,0.019280722
0.021587174,0.017972762
0.020709318,0.023810366
0.020380627,0.021709574
0.019578356,0.026333113
0.019709398,0.021558674
0.019198207,0.022262017
0.018632854,0.025176643
0.018721621,0.021600552
0.018254988,0.021566283
0.01815574,0.021247765
0.018193863,0.020392315
0.017730657,0.020329921
0.017709722,0.018890987
0.017517579,0.01895906
0.017710522,0.017393334
0.017840121,0.016332068
0.017451324,0.0171421
0.017689254,0.013978232
0.017031224,0.017488892
0.016594046,0.018384825
0.017343582,0.014162047
0.016777788,0.015367492
0.017499015,0.01392508
0.016842848,0.015249874
0.016343108,0.016519246
0.016876578,0.013092627
0.016893143,0.013471068
0.016566989,0.013771664
0.016265248,0.014999064
0.016178171,0.014113926
0.022289444,0.018043091
0.02148903,0.023408334
0.02135187,0.018568914
0.020476542,0.023025035
0.019942575,0.025852478
0.019408224,0.026158987
