b,c
0.017305218,0.015281584
0.016792057,0.01651253
0.017064072,0.014583654
0.016384309,0.016671129
0.016037514,0.017717442
0.016673463,0.014873673
0.016719278,0.014348838
0.016842378,0.012745428
0.016505657,0.014410815
0.016232187,0.014103457
0.01592596,0.015160257
0.016483117,0.012330569
0.016061274,0.013303525
0.016693552,0.01150541
0.015770202,0.013706108
0.021954899,0.017107806
0.021409994,0.019687958
0.020443244,0.023387562
0.020172371,0.021386634
0.019275797,0.02754673
0.019203156,0.024382203
0.019193289,0.019600095
0.018386018,0.024609755
0.018682352,0.019790218
0.018541317,0.019659483
0.018168349,0.020910373
0.017914415,0.020617933
0.017698686,0.019891648
0.017806203,0.018314884
0.017357445,0.020056671
0.017626757,0.018012226
0.017740101,0.016352025
0.01745877,0.016842899
0.017373951,0.01523985
0.017364466,0.01570181
0.017163879,0.015124354
0.017335245,0.014024122
0.016743753,0.016035703
0.017404659,0.013444003
0.016893341,0.013896413
0.016462983,0.014230472
0.016397256,0.015241567
0.016933172,0.012276979
0.016394034,0.013810312
0.016280511,0.013742341
0.016264036,0.013828807
0.022286858,0.016318937
0.021540454,0.01968108
0.02098112,0.019244592
0.02054869,0.022053285
0.019880951,0.022585249
0.01980421,0.020290114
0.019465062,0.020606071
0.018963476,0.022213787
0.018513687,0.022699729
0.018925881,0.019516498
0.017857499,0.023361893
0.017874767,0.022030149
0.018083457,0.01971378
0.017720775,0.01949237
0.017710815,0.019511249
0.017213002,0.01923087
0.018119739,0.014905538
0.017247694,0.018041003
0.017284638,0.017418301
0.017174739,0.017204217
0.016537618,0.017641409
0.017354616,0.014625605
0.01696397,0.01521673
0.017244682,0.013323803
0.017507244,0.012798643
0.016363283,0.015721812
0.016293332,0.015866846
0.016561082,0.014037775
0.017041938,0.012339667
0.016591577,0.013327351
0.015699474,0.015595161
0.022156084,0.019155773
0.021449752,0.020482837
0.020899062,0.021637385
0.020375751,0.023779195
0.020101227,0.020745276
0.019382919,0.024740164
0.019565393,0.019101827
0.018759156,0.023080158
0.018569515,0.021631105
0.018694893,0.019493437
0.018364673,0.020856662
0.018345447,0.01905005
0.017882723,0.021241542
0.018282249,0.016586712
0.017584106,0.0201019
0.017507223,0.019090712
0.018015794,0.015367428
0.017589733,0.016669216
0.017828051,0.014073156
0.017832055,0.014403796
0.016789576,0.018083808
0.017372725,0.014710015
0.017108886,0.014912571
0.017514001,0.012910981
0.017625959,0.012571556
0.016992104,0.014580777
0.016410949,0.015539423
0.017365143,0.012322532
0.016781594,0.01389986
0.016335765,0.01419447
0.016089582,0.014683333
