b,c
0.008388568,0.007738201
0.008589298,0.005121983
0.008842931,0.002095164
0.008756839,0.001669491
0.008610394,0.002096752
0.008731523,0.002546321
0.008855642,-5.47E-05
0.008920114,0.001509236
0.008713305,0.000580809
0.008880147,0.000100093
0.008775559,0.001128299
0.00893842,-0.000475546
0.008893072,0.000114812
0.00888756,0.00067533
0.008847769,0.000478278
0.0090998,-0.001108973
0.008635034,0.000968566
0.009221498,0.00051272
0.009163595,-0.001645822
0.009201176,-0.00136435
0.008671824,0.000142407
0.009038501,0.000274387
0.009312088,-0.00129044
0.008713861,0.000462943
0.008962677,-0.000983165
0.008809644,-0.000393478
0.008866867,0.000266183
0.009076741,0.00012459
0.008849058,-6.03E-05
0.008665859,0.000712107
0.008786469,0.008059021
0.008768397,0.005898853
0.009009701,0.00293144
0.009133007,0.001817868
0.0090839,0.000893752
0.009128709,-6.96E-05
0.009132043,0.001655936
0.009420231,-0.002138509
0.009240761,0.001199758
0.0091621,-0.000273065
0.009365551,-0.000984554
0.009207639,0.000474875
0.009161382,-0.000182914
0.009300991,-0.000500786
0.009300391,0.000200929
0.009184665,-6.44E-05
0.009605367,-0.001793135
0.009091035,0.000332992
0.009704205,1.67E-05
0.009743467,-0.002681466
0.009592394,-0.001853106
0.009051051,-0.000194498
0.009518917,-0.000837053
0.009395674,-0.000915035
0.009250833,0.000199072
0.009415251,-0.001819069
0.009220337,-0.000489282
0.009365928,-0.000688024
0.009347743,7.65E-05
0.009183141,-0.000162371
0.009205427,0.00039798
0.00883855,0.008669279
0.008832939,0.005797987
0.009124031,0.002633771
0.009238596,0.001218125
0.009169156,0.000611741
0.009091569,0.00079489
0.009431065,0.000115683
0.009468313,-0.001733982
0.009633629,-0.000388009
0.009265356,-0.000500913
0.009398309,-0.000697296
0.009207193,0.000682286
0.009478131,-0.000976398
0.009685156,-0.001699176
0.009549369,-0.000651412
0.009224669,0.000554767
0.009636551,-0.001675676
0.009310489,1.61E-05
0.009551073,0.000999998
0.009914323,-0.002888589
0.009882229,-0.002258011
0.009239208,-0.000557416
0.009526574,-0.000205433
0.009744245,-0.00125137
0.00948772,-0.000479126
0.009596854,-0.00169615
0.009516115,-0.001097944
0.009478668,-0.000762001
0.009609277,-0.000542548
0.009612702,-0.000896609
0.009121058,0.000641429
0.008935279,0.008167778
0.008953045,0.005470942
0.00910661,0.003391529
0.009377213,0.000370932
0.009277315,0.000561832
0.009269892,-0.000227459
0.009478412,2.56E-05
0.009627349,-0.002829406
0.009581331,-3.06E-05
0.009307615,-0.000249616
0.009322218,0.000274884
0.009198488,0.001121953
0.009467768,-0.000767101
0.009674787,-0.001026222
0.009752818,-0.001241992
0.009491186,-0.000536897
0.009564756,-0.001336805
0.009441048,-0.000293327
0.009577016,0.001089108
0.009828195,-0.002537245
0.009823197,-0.002175601
0.009583298,-0.001246558
0.009895999,-0.001441959
0.009598676,-0.000875652
0.009184075,0.000387126
0.009772828,-0.00222609
0.009645096,-0.001637701
0.009617916,-0.001314747
0.009892917,-0.000955684
0.009842574,-0.001609811
0.009651326,-0.000357262
0.008896185,0.008640616
0.008921677,0.005681618
0.009114516,0.003624226
0.009293968,0.001581548
0.009326562,-3.86E-05
0.009283227,-0.000153554
0.00948589,0.000516172
0.00968764,-0.002838734
0.009705736,-0.001103238
0.009541489,-0.001834968
0.009450264,-0.000189764
0.009463725,-0.000175246
0.00957216,-0.001109492
0.00971693,-0.001509717
0.009530816,-0.000197669
0.009451855,-0.000384675
0.009726616,-0.001620138
0.009114556,0.000802166
0.009843013,3.81E-05
0.010075059,-0.003120425
0.009812322,-0.002094478
0.009388215,-0.000110323
0.00956298,-7.59E-05
0.009722338,-0.001362592
0.0092476,0.000742641
0.009558824,-0.001471763
0.00943018,-0.000619153
0.009365201,-7.78E-05
0.009791965,-0.001065035
0.009745697,-0.001126773
0.009283128,0.000592686
